process_id,task,start_time,end_time,user,user_group,industry,service_charge
6,Automated Scoreboarding,03-12-2017 19:56:17,03-12-2017 20:00:28,SYSTEM,SYSTEM,Insurance,45000
6,Update Backend Systems,03-12-2017 20:05:28,03-12-2017 20:21:37,RPA,SYSTEM,Insurance,45000
6,Notification Review Request Completed,03-12-2017 20:26:37,03-12-2017 20:34:48,SYSTEM,SYSTEM,Insurance,45000
7,New Client Onboarding Request,04-12-2017 18:00:00,04-12-2017 18:09:02,Nick,Sales,Healthcare,20000
7,Review Documents,04-12-2017 18:14:02,04-12-2017 18:32:04,Jane,Operations,Healthcare,20000
7,Automated Scoreboarding,04-12-2017 18:37:04,04-12-2017 18:45:16,SYSTEM,SYSTEM,Healthcare,20000
7,Update Backend Systems,04-12-2017 18:50:16,04-12-2017 19:07:32,RPA,SYSTEM,Healthcare,20000
7,Notification Review Request Completed,04-12-2017 19:12:32,04-12-2017 19:18:48,SYSTEM,SYSTEM,Healthcare,20000
8,New Client Onboarding Request,05-12-2017 18:00:00,05-12-2017 18:20:17,Tom,Sales,Federal,3000
8,Review Documents,05-12-2017 18:25:17,05-12-2017 20:37:56,Jane,Operations,Federal,3000
8,Automated Scoreboarding,05-12-2017 20:42:56,05-12-2017 20:51:59,SYSTEM,SYSTEM,Federal,3000
8,Update Backend Systems,05-12-2017 20:56:59,05-12-2017 21:08:00,RPA,SYSTEM,Federal,3000
8,Notification Review Request Completed,05-12-2017 21:13:00,05-12-2017 21:18:45,SYSTEM,SYSTEM,Federal,3000
9,New Client Onboarding Request,06-12-2017 18:00:00,06-12-2017 18:21:41,Seb,Sales,Insurance,45000
9,Review Documents,06-12-2017 19:26:41,06-12-2017 23:00:43,Rod,Operations,Insurance,45000
9,Automated Scoreboarding,06-12-2017 23:05:43,06-12-2017 23:09:23,SYSTEM,SYSTEM,Insurance,45000
9,Update Backend Systems,06-12-2017 23:14:23,06-12-2017 23:20:19,RPA,SYSTEM,Insurance,45000
9,Notification Review Request Completed,06-12-2017 23:25:19,06-12-2017 23:33:25,SYSTEM,SYSTEM,Insurance,45000
10,New Client Onboarding Request,07-12-2017 18:00:00,07-12-2017 18:31:26,Tom,Sales,Finance,12000
10,Review Documents,07-12-2017 19:36:26,07-12-2017 20:08:10,Rod,Operations,Finance,12000
10,Automated Scoreboarding,07-12-2017 20:13:10,07-12-2017 20:22:26,SYSTEM,SYSTEM,Finance,12000
10,Update Backend Systems,07-12-2017 20:27:26,07-12-2017 20:33:57,RPA,SYSTEM,Finance,12000
10,Notification Review Request Completed,07-12-2017 20:38:57,07-12-2017 20:48:32,SYSTEM,SYSTEM,Finance,12000
11,New Client Onboarding Request,08-12-2017 18:00:00,08-12-2017 19:03:46,Seb,Sales,Insurance,45000
11,Review Documents,08-12-2017 20:08:46,08-12-2017 22:33:29,Rod,Operations,Insurance,45000
11,Automated Scoreboarding,08-12-2017 22:38:29,08-12-2017 22:42:44,SYSTEM,SYSTEM,Insurance,45000
11,Update Backend Systems,08-12-2017 22:47:44,08-12-2017 22:58:32,RPA,SYSTEM,Insurance,45000
11,Notification Review Request Completed,08-12-2017 23:03:32,08-12-2017 23:10:19,SYSTEM,SYSTEM,Insurance,45000
12,New Client Onboarding Request,09-12-2017 18:00:00,09-12-2017 18:41:24,Tom,Sales,Healthcare,20000
12,Review Documents,09-12-2017 19:46:24,09-12-2017 20:00:42,Rod,Operations,Healthcare,20000
12,Automated Scoreboarding,09-12-2017 20:05:42,09-12-2017 20:12:51,SYSTEM,SYSTEM,Healthcare,20000
12,Update Backend Systems,09-12-2017 20:17:51,09-12-2017 20:43:19,RPA,SYSTEM,Healthcare,20000
12,Notification Review Request Completed,09-12-2017 20:48:19,09-12-2017 20:51:39,SYSTEM,SYSTEM,Healthcare,20000
13,New Client Onboarding Request,10-12-2017 18:00:00,10-12-2017 20:29:15,Clive,Sales,Insurance,45000
13,Review Documents,10-12-2017 20:34:15,10-12-2017 20:56:39,Jane,Operations,Insurance,45000
13,Automated Scoreboarding,10-12-2017 21:01:39,10-12-2017 21:04:12,SYSTEM,SYSTEM,Insurance,45000
13,Update Backend Systems,10-12-2017 21:09:12,10-12-2017 21:36:16,RPA,SYSTEM,Insurance,45000
13,Notification Review Request Completed,10-12-2017 21:41:16,10-12-2017 21:47:51,SYSTEM,SYSTEM,Insurance,45000
14,New Client Onboarding Request,11-12-2017 18:00:00,11-12-2017 18:27:46,Seb,Sales,Federal,6000
14,Review Documents,11-12-2017 18:32:46,11-12-2017 21:12:17,Freddy,Operations,Federal,6000
14,Automated Scoreboarding,11-12-2017 21:17:17,11-12-2017 21:27:38,SYSTEM,SYSTEM,Federal,6000
14,Update Backend Systems,11-12-2017 21:32:38,11-12-2017 21:46:12,RPA,SYSTEM,Federal,6000
14,Notification Review Request Completed,11-12-2017 21:51:12,11-12-2017 21:57:23,SYSTEM,SYSTEM,Federal,6000
15,New Client Onboarding Request,12-12-2017 18:00:00,12-12-2017 18:34:53,Clive,Sales,Federal,6000
15,Review Documents,12-12-2017 19:39:53,12-12-2017 22:03:37,Rod,Operations,Federal,6000
15,Automated Scoreboarding,12-12-2017 22:08:37,12-12-2017 22:13:56,SYSTEM,SYSTEM,Federal,6000
15,Update Backend Systems,12-12-2017 22:18:56,12-12-2017 22:33:15,RPA,SYSTEM,Federal,6000
15,Notification Review Request Completed,12-12-2017 22:38:15,12-12-2017 22:42:34,SYSTEM,SYSTEM,Federal,6000
16,New Client Onboarding Request,13-12-2017 18:00:00,13-12-2017 19:41:00,Seb,Sales,Federal,6000
16,Review Documents,13-12-2017 19:46:00,13-12-2017 22:03:04,Freddy,Operations,Federal,6000
16,Automated Scoreboarding,13-12-2017 22:08:04,13-12-2017 22:16:18,SYSTEM,SYSTEM,Federal,6000
16,Update Backend Systems,13-12-2017 22:21:18,13-12-2017 22:29:35,RPA,SYSTEM,Federal,6000
16,Notification Review Request Completed,13-12-2017 22:34:35,13-12-2017 22:40:13,SYSTEM,SYSTEM,Federal,6000
17,New Client Onboarding Request,14-12-2017 18:00:00,14-12-2017 18:54:10,Francis,Sales,Healthcare,20000
17,Review Documents,14-12-2017 19:59:10,14-12-2017 20:28:21,Rod,Operations,Healthcare,20000
17,Automated Scoreboarding,14-12-2017 20:33:21,14-12-2017 20:39:31,SYSTEM,SYSTEM,Healthcare,20000
17,Update Backend Systems,14-12-2017 20:44:31,14-12-2017 20:52:58,RPA,SYSTEM,Healthcare,20000
17,Notification Review Request Completed,14-12-2017 20:57:58,14-12-2017 21:04:26,SYSTEM,SYSTEM,Healthcare,20000
18,New Client Onboarding Request,15-12-2017 18:00:00,15-12-2017 18:32:13,Francis,Sales,Telecom,49000
18,Review Documents,15-12-2017 18:37:13,15-12-2017 18:42:26,Jane,Operations,Telecom,49000
18,Automated Scoreboarding,15-12-2017 18:47:26,15-12-2017 18:53:38,SYSTEM,SYSTEM,Telecom,49000
18,Update Backend Systems,15-12-2017 18:58:38,15-12-2017 19:45:12,RPA,SYSTEM,Telecom,49000
18,Notification Review Request Completed,15-12-2017 19:50:12,15-12-2017 19:59:35,SYSTEM,SYSTEM,Telecom,49000
19,New Client Onboarding Request,16-12-2017 18:00:00,16-12-2017 18:28:58,Francis,Sales,Finance,12000
19,Review Documents,16-12-2017 19:33:58,16-12-2017 19:43:39,Rod,Operations,Finance,12000
19,Automated Scoreboarding,16-12-2017 19:48:39,16-12-2017 19:59:11,SYSTEM,SYSTEM,Finance,12000
19,Update Backend Systems,16-12-2017 20:04:11,16-12-2017 20:19:21,RPA,SYSTEM,Finance,12000
19,Notification Review Request Completed,16-12-2017 20:24:21,16-12-2017 20:29:39,SYSTEM,SYSTEM,Finance,12000
20,New Client Onboarding Request,17-12-2017 18:00:00,17-12-2017 18:10:37,Nick,Sales,Finance,12000
20,Review Documents,17-12-2017 18:15:37,17-12-2017 18:20:15,Jane,Operations,Finance,12000
20,Automated Scoreboarding,17-12-2017 18:25:15,17-12-2017 18:31:23,SYSTEM,SYSTEM,Finance,12000
20,Update Backend Systems,17-12-2017 18:36:23,17-12-2017 18:54:54,RPA,SYSTEM,Finance,12000
20,Notification Review Request Completed,17-12-2017 18:59:54,17-12-2017 19:07:29,SYSTEM,SYSTEM,Finance,12000
21,New Client Onboarding Request,18-12-2017 18:00:00,18-12-2017 19:45:48,Francis,Sales,Insurance,45000
21,Review Documents,18-12-2017 19:50:48,18-12-2017 19:54:13,Jane,Operations,Insurance,45000
21,Automated Scoreboarding,18-12-2017 19:59:13,18-12-2017 20:03:42,SYSTEM,SYSTEM,Insurance,45000
21,Update Backend Systems,18-12-2017 20:08:42,18-12-2017 20:21:20,RPA,SYSTEM,Insurance,45000
21,Notification Review Request Completed,18-12-2017 20:26:20,18-12-2017 20:30:29,SYSTEM,SYSTEM,Insurance,45000
22,New Client Onboarding Request,19-12-2017 18:00:00,19-12-2017 18:24:58,Clive,Sales,Federal,8000
22,Review Documents,19-12-2017 19:29:58,19-12-2017 21:46:19,Rod,Operations,Federal,8000
22,Automated Scoreboarding,19-12-2017 21:51:19,19-12-2017 21:54:39,SYSTEM,SYSTEM,Federal,8000
22,Update Backend Systems,19-12-2017 21:59:39,19-12-2017 22:26:51,RPA,SYSTEM,Federal,8000
22,Notification Review Request Completed,19-12-2017 22:31:51,19-12-2017 22:38:41,SYSTEM,SYSTEM,Federal,8000
23,New Client Onboarding Request,20-12-2017 18:00:00,20-12-2017 18:27:14,Clive,Sales,Telecom,49000
23,Review Documents,20-12-2017 19:32:14,20-12-2017 19:35:34,Rod,Operations,Telecom,49000
23,Automated Scoreboarding,20-12-2017 19:40:34,20-12-2017 19:47:14,SYSTEM,SYSTEM,Telecom,49000
23,Update Backend Systems,20-12-2017 19:52:14,20-12-2017 20:00:22,RPA,SYSTEM,Telecom,49000
23,Notification Review Request Completed,20-12-2017 20:05:22,20-12-2017 20:13:49,SYSTEM,SYSTEM,Telecom,49000
24,New Client Onboarding Request,21-12-2017 18:00:00,21-12-2017 18:25:10,Francis,Sales,Federal,8000
24,Review Documents,21-12-2017 18:30:10,21-12-2017 20:51:13,Freddy,Operations,Federal,8000
24,Automated Scoreboarding,21-12-2017 20:56:13,21-12-2017 21:04:53,SYSTEM,SYSTEM,Federal,8000
24,Update Backend Systems,21-12-2017 21:09:53,21-12-2017 21:27:57,RPA,SYSTEM,Federal,8000
24,Notification Review Request Completed,21-12-2017 21:32:57,21-12-2017 21:36:54,SYSTEM,SYSTEM,Federal,8000
25,New Client Onboarding Request,22-12-2017 18:00:00,22-12-2017 18:18:16,Nick,Sales,Telecom,49000
25,Review Documents,22-12-2017 18:23:16,22-12-2017 18:29:45,Freddy,Operations,Telecom,49000
25,Automated Scoreboarding,22-12-2017 18:34:45,22-12-2017 18:41:21,SYSTEM,SYSTEM,Telecom,49000
25,Update Backend Systems,22-12-2017 18:46:21,22-12-2017 19:01:08,RPA,SYSTEM,Telecom,49000
25,Notification Review Request Completed,22-12-2017 19:06:08,22-12-2017 19:13:36,SYSTEM,SYSTEM,Telecom,49000
26,New Client Onboarding Request,23-12-2017 18:00:00,23-12-2017 18:49:09,Clive,Sales,Finance,20000
26,Review Documents,23-12-2017 18:54:09,23-12-2017 19:04:17,Jane,Operations,Finance,20000
26,Automated Scoreboarding,23-12-2017 19:09:17,23-12-2017 19:14:03,SYSTEM,SYSTEM,Finance,20000
26,Update Backend Systems,23-12-2017 19:19:03,23-12-2017 19:26:04,RPA,SYSTEM,Finance,20000
26,Notification Review Request Completed,23-12-2017 19:31:04,23-12-2017 19:35:44,SYSTEM,SYSTEM,Finance,20000
27,New Client Onboarding Request,24-12-2017 18:00:00,24-12-2017 18:22:07,Clive,Sales,Healthcare,15000
27,Review Documents,24-12-2017 19:27:07,24-12-2017 19:41:19,Rod,Operations,Healthcare,15000
27,Automated Scoreboarding,24-12-2017 19:46:19,24-12-2017 19:51:23,SYSTEM,SYSTEM,Healthcare,15000
27,Update Backend Systems,24-12-2017 19:56:23,24-12-2017 20:06:02,RPA,SYSTEM,Healthcare,15000
27,Notification Review Request Completed,24-12-2017 20:11:02,24-12-2017 20:19:39,SYSTEM,SYSTEM,Healthcare,15000
28,New Client Onboarding Request,25-12-2017 18:00:00,25-12-2017 18:09:30,Clive,Sales,Telecom,49000
28,Review Documents,25-12-2017 19:14:30,25-12-2017 19:37:30,Rod,Operations,Telecom,49000
28,Automated Scoreboarding,25-12-2017 19:42:30,25-12-2017 19:49:37,SYSTEM,SYSTEM,Telecom,49000
28,Update Backend Systems,25-12-2017 19:54:37,25-12-2017 20:08:50,RPA,SYSTEM,Telecom,49000
28,Notification Review Request Completed,25-12-2017 20:13:50,25-12-2017 20:20:54,SYSTEM,SYSTEM,Telecom,49000
29,New Client Onboarding Request,26-12-2017 18:00:00,26-12-2017 18:10:41,Nick,Sales,Federal,8000
29,Review Documents,26-12-2017 18:15:41,26-12-2017 20:43:43,Freddy,Operations,Federal,8000
29,Automated Scoreboarding,26-12-2017 20:48:43,26-12-2017 20:51:30,SYSTEM,SYSTEM,Federal,8000
29,Update Backend Systems,26-12-2017 20:56:30,26-12-2017 21:09:40,RPA,SYSTEM,Federal,8000
29,Notification Review Request Completed,26-12-2017 21:14:40,26-12-2017 21:19:25,SYSTEM,SYSTEM,Federal,8000
30,New Client Onboarding Request,27-12-2017 18:00:00,27-12-2017 18:51:19,Seb,Sales,Healthcare,25000
30,Review Documents,27-12-2017 19:56:19,27-12-2017 20:19:52,Rod,Operations,Healthcare,25000
30,Automated Scoreboarding,27-12-2017 20:24:52,27-12-2017 20:28:45,SYSTEM,SYSTEM,Healthcare,25000
30,Update Backend Systems,27-12-2017 20:33:45,27-12-2017 20:45:11,RPA,SYSTEM,Healthcare,25000
30,Notification Review Request Completed,27-12-2017 20:50:11,27-12-2017 20:57:03,SYSTEM,SYSTEM,Healthcare,25000
31,New Client Onboarding Request,28-12-2017 18:00:00,28-12-2017 18:19:04,Clive,Sales,Federal,6000
31,Review Documents,28-12-2017 18:24:04,28-12-2017 20:27:03,Jane,Operations,Federal,6000
31,Automated Scoreboarding,28-12-2017 20:32:03,28-12-2017 20:39:37,SYSTEM,SYSTEM,Federal,6000
31,Update Backend Systems,28-12-2017 20:44:37,28-12-2017 20:56:10,RPA,SYSTEM,Federal,6000
31,Notification Review Request Completed,28-12-2017 21:01:10,28-12-2017 21:04:56,SYSTEM,SYSTEM,Federal,6000
32,New Client Onboarding Request,29-12-2017 18:00:00,29-12-2017 18:25:17,Nick,Sales,Insurance,45000
32,Review Documents,29-12-2017 19:30:17,29-12-2017 19:34:35,Rod,Operations,Insurance,45000
32,Automated Scoreboarding,29-12-2017 19:39:35,29-12-2017 19:44:18,SYSTEM,SYSTEM,Insurance,45000
32,Update Backend Systems,29-12-2017 19:49:18,29-12-2017 20:02:14,RPA,SYSTEM,Insurance,45000
32,Notification Review Request Completed,29-12-2017 20:07:14,29-12-2017 20:13:15,SYSTEM,SYSTEM,Insurance,45000
33,New Client Onboarding Request,30-12-2017 18:00:00,30-12-2017 18:33:47,Seb,Sales,Federal,8000
33,Review Documents,30-12-2017 18:38:47,30-12-2017 20:50:13,Jane,Operations,Federal,8000
33,Automated Scoreboarding,30-12-2017 20:55:13,30-12-2017 21:05:00,SYSTEM,SYSTEM,Federal,8000
33,Update Backend Systems,30-12-2017 21:10:00,30-12-2017 21:50:07,RPA,SYSTEM,Federal,8000
33,Notification Review Request Completed,30-12-2017 21:55:07,30-12-2017 21:58:45,SYSTEM,SYSTEM,Federal,8000
34,New Client Onboarding Request,31-12-2017 18:00:00,31-12-2017 18:59:34,Francis,Sales,Insurance,45000
34,Review Documents,31-12-2017 19:04:34,31-12-2017 19:12:15,Jane,Operations,Insurance,45000
34,Automated Scoreboarding,31-12-2017 19:17:15,31-12-2017 19:24:14,SYSTEM,SYSTEM,Insurance,45000
34,Update Backend Systems,31-12-2017 19:29:14,31-12-2017 19:43:59,RPA,SYSTEM,Insurance,45000
34,Notification Review Request Completed,31-12-2017 19:48:59,31-12-2017 19:55:47,SYSTEM,SYSTEM,Insurance,45000
35,New Client Onboarding Request,01-01-2018 18:00:00,01-01-2018 18:13:35,Clive,Sales,Telecom,49000
35,Review Documents,01-01-2018 18:18:35,01-01-2018 19:57:11,Jane,Operations,Telecom,49000
35,Automated Scoreboarding,01-01-2018 20:02:11,01-01-2018 20:07:17,SYSTEM,SYSTEM,Telecom,49000
35,Update Backend Systems,01-01-2018 20:12:17,01-01-2018 20:22:21,RPA,SYSTEM,Telecom,49000
35,Notification Review Request Completed,01-01-2018 20:27:21,01-01-2018 20:32:04,SYSTEM,SYSTEM,Telecom,49000
36,New Client Onboarding Request,02-01-2018 18:00:00,02-01-2018 18:30:16,Francis,Sales,Insurance,45000
36,Review Documents,02-01-2018 18:35:16,02-01-2018 18:47:57,Jane,Operations,Insurance,45000
36,Automated Scoreboarding,02-01-2018 18:52:57,02-01-2018 18:57:16,SYSTEM,SYSTEM,Insurance,45000
36,Update Backend Systems,02-01-2018 19:02:16,02-01-2018 19:26:24,RPA,SYSTEM,Insurance,45000
36,Notification Review Request Completed,02-01-2018 19:31:24,02-01-2018 19:37:32,SYSTEM,SYSTEM,Insurance,45000
37,New Client Onboarding Request,03-01-2018 18:00:00,03-01-2018 19:04:00,Nick,Sales,Healthcare,20000
37,Review Documents,03-01-2018 19:09:00,03-01-2018 19:46:49,Jane,Operations,Healthcare,20000
37,Automated Scoreboarding,03-01-2018 19:51:49,03-01-2018 19:55:05,SYSTEM,SYSTEM,Healthcare,20000
37,Update Backend Systems,03-01-2018 20:00:05,03-01-2018 20:25:49,RPA,SYSTEM,Healthcare,20000
37,Notification Review Request Completed,03-01-2018 20:30:49,03-01-2018 20:34:52,SYSTEM,SYSTEM,Healthcare,20000
38,New Client Onboarding Request,04-01-2018 18:00:00,04-01-2018 19:34:01,Nick,Sales,Finance,10000
38,Review Documents,04-01-2018 20:39:01,04-01-2018 20:52:51,Rod,Operations,Finance,10000
38,Automated Scoreboarding,04-01-2018 20:57:51,04-01-2018 21:06:35,SYSTEM,SYSTEM,Finance,10000
38,Update Backend Systems,04-01-2018 21:11:35,04-01-2018 21:34:14,RPA,SYSTEM,Finance,10000
38,Notification Review Request Completed,04-01-2018 21:39:14,04-01-2018 21:45:23,SYSTEM,SYSTEM,Finance,10000
39,New Client Onboarding Request,05-01-2018 18:00:00,05-01-2018 18:22:46,Tom,Sales,Telecom,49000
39,Review Documents,05-01-2018 19:27:46,05-01-2018 19:38:20,Rod,Operations,Telecom,49000
39,Automated Scoreboarding,05-01-2018 19:43:20,05-01-2018 19:52:21,SYSTEM,SYSTEM,Telecom,49000
39,Update Backend Systems,05-01-2018 19:57:21,05-01-2018 20:10:04,RPA,SYSTEM,Telecom,49000
39,Notification Review Request Completed,05-01-2018 20:15:04,05-01-2018 20:19:38,SYSTEM,SYSTEM,Telecom,49000
40,New Client Onboarding Request,06-01-2018 18:00:00,06-01-2018 19:13:06,Tom,Sales,Finance,10000
40,Review Documents,06-01-2018 19:18:06,06-01-2018 19:28:22,Freddy,Operations,Finance,10000
40,Automated Scoreboarding,06-01-2018 19:33:22,06-01-2018 19:38:30,SYSTEM,SYSTEM,Finance,10000
40,Update Backend Systems,06-01-2018 19:43:30,06-01-2018 19:58:43,RPA,SYSTEM,Finance,10000
40,Notification Review Request Completed,06-01-2018 20:03:43,06-01-2018 20:07:26,SYSTEM,SYSTEM,Finance,10000
41,New Client Onboarding Request,07-01-2018 18:00:00,07-01-2018 18:19:36,Francis,Sales,Insurance,45000
41,Review Documents,07-01-2018 18:24:36,07-01-2018 18:37:43,Freddy,Operations,Insurance,45000
41,Automated Scoreboarding,07-01-2018 18:42:43,07-01-2018 18:50:18,SYSTEM,SYSTEM,Insurance,45000
41,Update Backend Systems,07-01-2018 18:55:18,07-01-2018 19:09:20,RPA,SYSTEM,Insurance,45000
41,Notification Review Request Completed,07-01-2018 19:14:20,07-01-2018 19:20:07,SYSTEM,SYSTEM,Insurance,45000
42,New Client Onboarding Request,08-01-2018 18:00:00,08-01-2018 19:05:03,Seb,Sales,Healthcare,25000
42,Review Documents,08-01-2018 19:10:03,08-01-2018 19:34:06,Jane,Operations,Healthcare,25000
42,Automated Scoreboarding,08-01-2018 19:39:06,08-01-2018 19:42:03,SYSTEM,SYSTEM,Healthcare,25000
42,Update Backend Systems,08-01-2018 19:47:03,08-01-2018 20:03:29,RPA,SYSTEM,Healthcare,25000
42,Notification Review Request Completed,08-01-2018 20:08:29,08-01-2018 20:11:40,SYSTEM,SYSTEM,Healthcare,25000
43,New Client Onboarding Request,09-01-2018 18:00:00,09-01-2018 18:29:49,Tom,Sales,Insurance,45000
43,Review Documents,09-01-2018 18:34:49,09-01-2018 18:39:11,Freddy,Operations,Insurance,45000
43,Automated Scoreboarding,09-01-2018 18:44:11,09-01-2018 18:48:04,SYSTEM,SYSTEM,Insurance,45000
43,Update Backend Systems,09-01-2018 18:53:04,09-01-2018 19:02:36,RPA,SYSTEM,Insurance,45000
43,Notification Review Request Completed,09-01-2018 19:07:36,09-01-2018 19:13:19,SYSTEM,SYSTEM,Insurance,45000
44,New Client Onboarding Request,10-01-2018 18:00:00,10-01-2018 18:24:49,Seb,Sales,Healthcare,15000
44,Review Documents,10-01-2018 18:29:49,10-01-2018 18:35:55,Freddy,Operations,Healthcare,15000
44,Automated Scoreboarding,10-01-2018 18:40:55,10-01-2018 18:45:24,SYSTEM,SYSTEM,Healthcare,15000
44,Update Backend Systems,10-01-2018 18:50:24,10-01-2018 19:25:28,RPA,SYSTEM,Healthcare,15000
44,Notification Review Request Completed,10-01-2018 19:30:28,10-01-2018 19:35:28,SYSTEM,SYSTEM,Healthcare,15000
45,New Client Onboarding Request,11-01-2018 18:00:00,11-01-2018 18:37:09,Tom,Sales,Finance,20000
45,Review Documents,11-01-2018 19:42:09,11-01-2018 20:04:02,Rod,Operations,Finance,20000
45,Automated Scoreboarding,11-01-2018 20:09:02,11-01-2018 20:15:49,SYSTEM,SYSTEM,Finance,20000
45,Update Backend Systems,11-01-2018 20:20:49,11-01-2018 20:53:41,RPA,SYSTEM,Finance,20000
45,Notification Review Request Completed,11-01-2018 20:58:41,11-01-2018 21:04:18,SYSTEM,SYSTEM,Finance,20000
46,New Client Onboarding Request,12-01-2018 18:00:00,12-01-2018 19:04:23,Francis,Sales,Telecom,49000
46,Review Documents,12-01-2018 20:09:23,12-01-2018 20:17:10,Rod,Operations,Telecom,49000
46,Automated Scoreboarding,12-01-2018 20:22:10,12-01-2018 20:26:24,SYSTEM,SYSTEM,Telecom,49000
46,Update Backend Systems,12-01-2018 20:31:24,12-01-2018 20:44:34,RPA,SYSTEM,Telecom,49000
46,Notification Review Request Completed,12-01-2018 20:49:34,12-01-2018 20:54:02,SYSTEM,SYSTEM,Telecom,49000
47,New Client Onboarding Request,13-01-2018 18:00:00,13-01-2018 18:33:52,Francis,Sales,Federal,8000
47,Review Documents,13-01-2018 19:38:52,13-01-2018 21:48:17,Rod,Operations,Federal,8000
47,Automated Scoreboarding,13-01-2018 21:53:17,13-01-2018 22:07:27,SYSTEM,SYSTEM,Federal,8000
47,Update Backend Systems,13-01-2018 22:12:27,13-01-2018 22:25:01,RPA,SYSTEM,Federal,8000
47,Notification Review Request Completed,13-01-2018 22:30:01,13-01-2018 22:41:08,SYSTEM,SYSTEM,Federal,8000
48,New Client Onboarding Request,14-01-2018 18:00:00,14-01-2018 18:13:18,Tom,Sales,Insurance,45000
48,Review Documents,14-01-2018 18:18:18,14-01-2018 19:02:29,Freddy,Operations,Insurance,45000
48,Automated Scoreboarding,14-01-2018 19:07:29,14-01-2018 19:13:55,SYSTEM,SYSTEM,Insurance,45000
48,Update Backend Systems,14-01-2018 19:18:55,14-01-2018 19:47:47,RPA,SYSTEM,Insurance,45000
48,Notification Review Request Completed,14-01-2018 19:52:47,14-01-2018 19:58:07,SYSTEM,SYSTEM,Insurance,45000
49,New Client Onboarding Request,15-01-2018 18:00:00,15-01-2018 18:12:17,Francis,Sales,Insurance,45000
49,Review Documents,15-01-2018 18:17:17,15-01-2018 18:18:08,Jane,Operations,Insurance,45000
49,Automated Scoreboarding,15-01-2018 18:23:08,15-01-2018 18:31:38,SYSTEM,SYSTEM,Insurance,45000
49,Update Backend Systems,15-01-2018 18:36:38,15-01-2018 19:02:19,RPA,SYSTEM,Insurance,45000
49,Notification Review Request Completed,15-01-2018 19:07:19,15-01-2018 19:11:38,SYSTEM,SYSTEM,Insurance,45000
50,New Client Onboarding Request,16-01-2018 18:00:00,16-01-2018 18:52:42,Francis,Sales,Federal,3000
50,Review Documents,16-01-2018 18:57:42,16-01-2018 21:16:41,Jane,Operations,Federal,3000
