process_id,task,start_time,user,industry,service_charge
14,Update Backend Systems,11-12-2017 20:23:15,RPA,Healthcare,15000
14,Notification Review Request Completed,11-12-2017 20:47:22,SYSTEM,Healthcare,15000
15,New Client Onboarding Request,12-12-2017 18:00:00,Tom,Insurance,45000
15,Review Documents,12-12-2017 19:17:46,Rod,Insurance,45000
15,Automated Scoreboarding,12-12-2017 19:29:07,SYSTEM,Insurance,45000
15,Update Backend Systems,12-12-2017 19:34:50,RPA,Insurance,45000
15,Notification Review Request Completed,12-12-2017 19:50:42,SYSTEM,Insurance,45000
16,New Client Onboarding Request,13-12-2017 18:00:00,Tom,Insurance,45000
16,Review Documents,13-12-2017 18:20:28,Jane,Insurance,45000
16,Automated Scoreboarding,13-12-2017 18:57:44,SYSTEM,Insurance,45000
16,Update Backend Systems,13-12-2017 19:04:19,RPA,Insurance,45000
16,Notification Review Request Completed,13-12-2017 19:17:52,SYSTEM,Insurance,45000
17,New Client Onboarding Request,14-12-2017 18:00:00,Nick,Finance,10000
17,Review Documents,14-12-2017 18:33:18,Jane,Finance,10000
17,Automated Scoreboarding,14-12-2017 18:37:29,SYSTEM,Finance,10000
17,Update Backend Systems,14-12-2017 18:43:40,RPA,Finance,10000
17,Notification Review Request Completed,14-12-2017 18:52:07,SYSTEM,Finance,10000
18,New Client Onboarding Request,15-12-2017 18:00:00,Clive,Finance,12000
18,Review Documents,15-12-2017 19:55:09,Rod,Finance,12000
18,Automated Scoreboarding,15-12-2017 19:55:40,SYSTEM,Finance,12000
18,Update Backend Systems,15-12-2017 19:59:21,RPA,Finance,12000
18,Notification Review Request Completed,15-12-2017 20:16:22,SYSTEM,Finance,12000
19,New Client Onboarding Request,16-12-2017 18:00:00,Seb,Insurance,45000
19,Review Documents,16-12-2017 18:15:35,Freddy,Insurance,45000
19,Automated Scoreboarding,16-12-2017 18:54:20,SYSTEM,Insurance,45000
19,Update Backend Systems,16-12-2017 19:00:52,RPA,Insurance,45000
19,Notification Review Request Completed,16-12-2017 19:12:09,SYSTEM,Insurance,45000
20,New Client Onboarding Request,17-12-2017 18:00:00,Francis,Insurance,45000
20,Review Documents,17-12-2017 18:13:29,Freddy,Insurance,45000
20,Automated Scoreboarding,17-12-2017 18:18:51,SYSTEM,Insurance,45000
20,Update Backend Systems,17-12-2017 18:23:37,RPA,Insurance,45000
20,Notification Review Request Completed,17-12-2017 18:42:11,SYSTEM,Insurance,45000
21,New Client Onboarding Request,18-12-2017 18:00:00,Seb,Finance,12000
21,Review Documents,18-12-2017 18:13:20,Jane,Finance,12000
21,Automated Scoreboarding,18-12-2017 18:16:35,SYSTEM,Finance,12000
21,Update Backend Systems,18-12-2017 18:20:22,RPA,Finance,12000
21,Notification Review Request Completed,18-12-2017 18:38:14,SYSTEM,Finance,12000
22,New Client Onboarding Request,19-12-2017 18:00:00,Francis,Healthcare,25000
22,Review Documents,19-12-2017 20:11:37,Rod,Healthcare,25000
22,Automated Scoreboarding,19-12-2017 20:19:11,SYSTEM,Healthcare,25000
22,Update Backend Systems,19-12-2017 20:28:25,RPA,Healthcare,25000
22,Notification Review Request Completed,19-12-2017 20:42:52,SYSTEM,Healthcare,25000
23,New Client Onboarding Request,20-12-2017 18:00:00,Clive,Healthcare,20000
23,Review Documents,20-12-2017 18:20:37,Freddy,Healthcare,20000
23,Automated Scoreboarding,20-12-2017 18:31:03,SYSTEM,Healthcare,20000
23,Update Backend Systems,20-12-2017 18:35:58,RPA,Healthcare,20000
23,Notification Review Request Completed,20-12-2017 18:42:06,SYSTEM,Healthcare,20000
24,New Client Onboarding Request,21-12-2017 18:00:00,Tom,Finance,12000
24,Review Documents,21-12-2017 19:28:09,Rod,Finance,12000
24,Automated Scoreboarding,21-12-2017 19:42:00,SYSTEM,Finance,12000
24,Update Backend Systems,21-12-2017 19:45:56,RPA,Finance,12000
24,Notification Review Request Completed,21-12-2017 20:04:17,SYSTEM,Finance,12000
25,New Client Onboarding Request,22-12-2017 18:00:00,Clive,Telecom,49000
25,Review Documents,22-12-2017 20:00:56,Rod,Telecom,49000
25,Automated Scoreboarding,22-12-2017 21:20:44,SYSTEM,Telecom,49000
25,Update Backend Systems,22-12-2017 21:24:36,RPA,Telecom,49000
25,Notification Review Request Completed,22-12-2017 21:48:19,SYSTEM,Telecom,49000
26,New Client Onboarding Request,23-12-2017 18:00:00,Clive,Finance,20000
26,Review Documents,23-12-2017 19:13:50,Rod,Finance,20000
26,Automated Scoreboarding,23-12-2017 19:30:55,SYSTEM,Finance,20000
26,Update Backend Systems,23-12-2017 19:36:17,RPA,Finance,20000
26,Notification Review Request Completed,23-12-2017 19:41:59,SYSTEM,Finance,20000
27,New Client Onboarding Request,24-12-2017 18:00:00,Francis,Healthcare,15000
27,Review Documents,24-12-2017 19:06:41,Jane,Healthcare,15000
27,Automated Scoreboarding,24-12-2017 19:13:43,SYSTEM,Healthcare,15000
27,Update Backend Systems,24-12-2017 19:19:09,RPA,Healthcare,15000
27,Notification Review Request Completed,24-12-2017 19:39:19,SYSTEM,Healthcare,15000
28,New Client Onboarding Request,25-12-2017 18:00:00,Francis,Healthcare,25000
28,Review Documents,25-12-2017 19:17:06,Rod,Healthcare,25000
28,Automated Scoreboarding,25-12-2017 19:34:49,SYSTEM,Healthcare,25000
28,Update Backend Systems,25-12-2017 19:41:35,RPA,Healthcare,25000
28,Notification Review Request Completed,25-12-2017 19:57:08,SYSTEM,Healthcare,25000
29,New Client Onboarding Request,26-12-2017 18:00:00,Clive,Healthcare,20000
29,Review Documents,26-12-2017 18:46:13,Freddy,Healthcare,20000
29,Automated Scoreboarding,26-12-2017 18:55:12,SYSTEM,Healthcare,20000
29,Update Backend Systems,26-12-2017 18:59:00,RPA,Healthcare,20000
29,Notification Review Request Completed,26-12-2017 19:05:14,SYSTEM,Healthcare,20000
30,New Client Onboarding Request,27-12-2017 18:00:00,Seb,Federal,3000
30,Review Documents,27-12-2017 18:40:16,Freddy,Federal,3000
30,Automated Scoreboarding,27-12-2017 21:13:37,SYSTEM,Federal,3000
30,Update Backend Systems,27-12-2017 21:22:35,RPA,Federal,3000
30,Notification Review Request Completed,27-12-2017 21:35:11,SYSTEM,Federal,3000
31,New Client Onboarding Request,28-12-2017 18:00:00,Clive,Healthcare,25000
31,Review Documents,28-12-2017 18:14:25,Jane,Healthcare,25000
31,Automated Scoreboarding,28-12-2017 18:23:31,SYSTEM,Healthcare,25000
31,Update Backend Systems,28-12-2017 18:32:16,RPA,Healthcare,25000
31,Notification Review Request Completed,28-12-2017 18:49:23,SYSTEM,Healthcare,25000
32,New Client Onboarding Request,29-12-2017 18:00:00,Francis,Finance,10000
32,Review Documents,29-12-2017 18:40:35,Freddy,Finance,10000
32,Automated Scoreboarding,29-12-2017 18:46:14,SYSTEM,Finance,10000
32,Update Backend Systems,29-12-2017 18:54:03,RPA,Finance,10000
32,Notification Review Request Completed,29-12-2017 19:07:47,SYSTEM,Finance,10000
33,New Client Onboarding Request,30-12-2017 18:00:00,Francis,Insurance,45000
33,Review Documents,30-12-2017 18:21:25,Jane,Insurance,45000
33,Automated Scoreboarding,30-12-2017 18:43:00,SYSTEM,Insurance,45000
33,Update Backend Systems,30-12-2017 18:48:23,RPA,Insurance,45000
33,Notification Review Request Completed,30-12-2017 19:04:19,SYSTEM,Insurance,45000
34,New Client Onboarding Request,31-12-2017 18:00:00,Nick,Insurance,45000
34,Review Documents,31-12-2017 19:21:31,Rod,Insurance,45000
34,Automated Scoreboarding,31-12-2017 19:30:36,SYSTEM,Insurance,45000
34,Update Backend Systems,31-12-2017 19:37:25,RPA,Insurance,45000
34,Notification Review Request Completed,31-12-2017 19:53:27,SYSTEM,Insurance,45000
35,New Client Onboarding Request,01-01-2018 18:00:00,Francis,Telecom,49000
35,Review Documents,01-01-2018 19:28:30,Rod,Telecom,49000
35,Automated Scoreboarding,01-01-2018 20:18:37,SYSTEM,Telecom,49000
35,Update Backend Systems,01-01-2018 20:22:14,RPA,Telecom,49000
35,Notification Review Request Completed,01-01-2018 20:53:04,SYSTEM,Telecom,49000
36,New Client Onboarding Request,02-01-2018 18:00:00,Seb,Healthcare,25000
36,Review Documents,02-01-2018 18:27:39,Freddy,Healthcare,25000
36,Automated Scoreboarding,02-01-2018 18:46:11,SYSTEM,Healthcare,25000
36,Update Backend Systems,02-01-2018 18:50:59,RPA,Healthcare,25000
36,Notification Review Request Completed,02-01-2018 19:03:28,SYSTEM,Healthcare,25000
37,New Client Onboarding Request,03-01-2018 18:00:00,Seb,Federal,8000
37,Review Documents,03-01-2018 18:21:02,Jane,Federal,8000
37,Automated Scoreboarding,03-01-2018 20:51:26,SYSTEM,Federal,8000
37,Update Backend Systems,03-01-2018 20:58:54,RPA,Federal,8000
37,Notification Review Request Completed,03-01-2018 21:13:06,SYSTEM,Federal,8000
38,New Client Onboarding Request,04-01-2018 18:00:00,Seb,Federal,8000
38,Review Documents,04-01-2018 19:28:53,Rod,Federal,8000
38,Automated Scoreboarding,04-01-2018 22:25:50,SYSTEM,Federal,8000
38,Update Backend Systems,04-01-2018 22:31:27,RPA,Federal,8000
38,Notification Review Request Completed,04-01-2018 22:48:59,SYSTEM,Federal,8000
39,New Client Onboarding Request,05-01-2018 18:00:00,Nick,Insurance,45000
39,Review Documents,05-01-2018 18:31:23,Freddy,Insurance,45000
39,Automated Scoreboarding,05-01-2018 18:35:34,SYSTEM,Insurance,45000
39,Update Backend Systems,05-01-2018 18:41:22,RPA,Insurance,45000
39,Notification Review Request Completed,05-01-2018 19:01:54,SYSTEM,Insurance,45000
40,New Client Onboarding Request,06-01-2018 18:00:00,Nick,Insurance,45000
40,Review Documents,06-01-2018 19:36:04,Rod,Insurance,45000
40,Automated Scoreboarding,06-01-2018 19:57:06,SYSTEM,Insurance,45000
40,Update Backend Systems,06-01-2018 20:03:46,RPA,Insurance,45000
40,Notification Review Request Completed,06-01-2018 20:14:45,SYSTEM,Insurance,45000
41,New Client Onboarding Request,07-01-2018 18:00:00,Tom,Insurance,45000
41,Review Documents,07-01-2018 18:27:30,Jane,Insurance,45000
41,Automated Scoreboarding,07-01-2018 18:46:06,SYSTEM,Insurance,45000
41,Update Backend Systems,07-01-2018 18:50:16,RPA,Insurance,45000
41,Notification Review Request Completed,07-01-2018 18:59:35,SYSTEM,Insurance,45000
42,New Client Onboarding Request,08-01-2018 18:00:00,Francis,Finance,12000
42,Review Documents,08-01-2018 19:18:24,Jane,Finance,12000
42,Automated Scoreboarding,08-01-2018 19:21:51,SYSTEM,Finance,12000
42,Update Backend Systems,08-01-2018 19:28:18,RPA,Finance,12000
42,Notification Review Request Completed,08-01-2018 19:40:36,SYSTEM,Finance,12000
43,New Client Onboarding Request,09-01-2018 18:00:00,Francis,Federal,8000
43,Review Documents,09-01-2018 18:51:43,Freddy,Federal,8000
43,Automated Scoreboarding,09-01-2018 21:20:02,SYSTEM,Federal,8000
43,Update Backend Systems,09-01-2018 21:24:35,RPA,Federal,8000
43,Notification Review Request Completed,09-01-2018 21:45:11,SYSTEM,Federal,8000
44,New Client Onboarding Request,10-01-2018 18:00:00,Clive,Federal,3000
44,Review Documents,10-01-2018 18:19:45,Freddy,Federal,3000
44,Automated Scoreboarding,10-01-2018 21:09:49,SYSTEM,Federal,3000
44,Update Backend Systems,10-01-2018 21:18:14,RPA,Federal,3000
44,Notification Review Request Completed,10-01-2018 21:30:57,SYSTEM,Federal,3000
45,New Client Onboarding Request,11-01-2018 18:00:00,Francis,Federal,8000
45,Review Documents,11-01-2018 19:22:49,Freddy,Federal,8000
45,Automated Scoreboarding,11-01-2018 21:37:42,SYSTEM,Federal,8000
45,Update Backend Systems,11-01-2018 21:46:21,RPA,Federal,8000
45,Notification Review Request Completed,11-01-2018 22:07:16,SYSTEM,Federal,8000
46,New Client Onboarding Request,12-01-2018 18:00:00,Nick,Telecom,49000
46,Review Documents,12-01-2018 18:38:41,Freddy,Telecom,49000
46,Automated Scoreboarding,12-01-2018 19:34:13,SYSTEM,Telecom,49000
46,Update Backend Systems,12-01-2018 19:40:47,RPA,Telecom,49000
46,Notification Review Request Completed,12-01-2018 19:57:13,SYSTEM,Telecom,49000
47,New Client Onboarding Request,13-01-2018 18:00:00,Francis,Federal,8000
47,Review Documents,13-01-2018 19:12:56,Rod,Federal,8000
47,Automated Scoreboarding,13-01-2018 21:46:00,SYSTEM,Federal,8000
47,Update Backend Systems,13-01-2018 21:56:20,RPA,Federal,8000
47,Notification Review Request Completed,13-01-2018 22:03:38,SYSTEM,Federal,8000
48,New Client Onboarding Request,14-01-2018 18:00:00,Francis,Finance,20000
48,Review Documents,14-01-2018 19:12:18,Rod,Finance,20000
48,Automated Scoreboarding,14-01-2018 20:24:45,SYSTEM,Finance,20000
48,Update Backend Systems,14-01-2018 20:32:10,RPA,Finance,20000
48,Notification Review Request Completed,14-01-2018 20:49:41,SYSTEM,Finance,20000
49,New Client Onboarding Request,15-01-2018 18:00:00,Clive,Healthcare,20000
49,Review Documents,15-01-2018 18:12:45,Freddy,Healthcare,20000
49,Automated Scoreboarding,15-01-2018 18:29:06,SYSTEM,Healthcare,20000
49,Update Backend Systems,15-01-2018 18:35:06,RPA,Healthcare,20000
49,Notification Review Request Completed,15-01-2018 18:55:06,SYSTEM,Healthcare,20000
50,New Client Onboarding Request,16-01-2018 18:00:00,Nick,Finance,20000
50,Review Documents,16-01-2018 18:44:38,Jane,Finance,20000
50,Automated Scoreboarding,16-01-2018 19:00:37,SYSTEM,Finance,20000
50,Update Backend Systems,16-01-2018 19:03:59,RPA,Finance,20000
50,Notification Review Request Completed,16-01-2018 19:13:42,SYSTEM,Finance,20000
51,New Client Onboarding Request,17-01-2018 18:00:00,Clive,Finance,10000
51,Review Documents,17-01-2018 18:52:54,Freddy,Finance,10000
51,Automated Scoreboarding,17-01-2018 18:58:49,SYSTEM,Finance,10000
51,Update Backend Systems,17-01-2018 19:08:58,RPA,Finance,10000
51,Notification Review Request Completed,17-01-2018 19:47:01,SYSTEM,Finance,10000
52,New Client Onboarding Request,18-01-2018 18:00:00,Francis,Healthcare,25000
52,Review Documents,18-01-2018 18:25:38,Jane,Healthcare,25000
52,Automated Scoreboarding,18-01-2018 18:52:30,SYSTEM,Healthcare,25000
52,Update Backend Systems,18-01-2018 18:57:16,RPA,Healthcare,25000
52,Notification Review Request Completed,18-01-2018 19:08:53,SYSTEM,Healthcare,25000
53,New Client Onboarding Request,19-01-2018 18:00:00,Tom,Finance,10000
53,Review Documents,19-01-2018 19:23:56,Jane,Finance,10000
53,Automated Scoreboarding,19-01-2018 19:46:03,SYSTEM,Finance,10000
53,Update Backend Systems,19-01-2018 19:52:45,RPA,Finance,10000
53,Notification Review Request Completed,19-01-2018 20:01:24,SYSTEM,Finance,10000
54,New Client Onboarding Request,20-01-2018 18:00:00,Clive,Insurance,45000
54,Review Documents,20-01-2018 18:50:23,Freddy,Insurance,45000
54,Automated Scoreboarding,20-01-2018 19:04:08,SYSTEM,Insurance,45000
54,Update Backend Systems,20-01-2018 19:08:12,RPA,Insurance,45000
54,Notification Review Request Completed,20-01-2018 19:35:39,SYSTEM,Insurance,45000
55,New Client Onboarding Request,21-01-2018 18:00:00,Tom,Federal,8000
55,Review Documents,21-01-2018 18:39:17,Freddy,Federal,8000
55,Automated Scoreboarding,21-01-2018 20:47:23,SYSTEM,Federal,8000
55,Update Backend Systems,21-01-2018 20:57:31,RPA,Federal,8000
55,Notification Review Request Completed,21-01-2018 21:21:06,SYSTEM,Federal,8000
56,New Client Onboarding Request,22-01-2018 18:00:00,Nick,Healthcare,25000
56,Review Documents,22-01-2018 18:26:48,Jane,Healthcare,25000
56,Automated Scoreboarding,22-01-2018 18:34:58,SYSTEM,Healthcare,25000
56,Update Backend Systems,22-01-2018 18:40:14,RPA,Healthcare,25000
56,Notification Review Request Completed,22-01-2018 19:03:11,SYSTEM,Healthcare,25000
57,New Client Onboarding Request,23-01-2018 18:00:00,Tom,Healthcare,15000
57,Review Documents,23-01-2018 19:31:41,Rod,Healthcare,15000
57,Automated Scoreboarding,23-01-2018 19:39:09,SYSTEM,Healthcare,15000
57,Update Backend Systems,23-01-2018 19:44:24,RPA,Healthcare,15000
57,Notification Review Request Completed,23-01-2018 19:56:45,SYSTEM,Healthcare,15000
58,New Client Onboarding Request,24-01-2018 18:00:00,Francis,Healthcare,20000
58,Review Documents,24-01-2018 19:15:06,Rod,Healthcare,20000
58,Automated Scoreboarding,24-01-2018 19:57:41,SYSTEM,Healthcare,20000
58,Update Backend Systems,24-01-2018 20:02:20,RPA,Healthcare,20000
58,Notification Review Request Completed,24-01-2018 20:14:38,SYSTEM,Healthcare,20000
59,New Client Onboarding Request,25-01-2018 18:00:00,Seb,Healthcare,25000
59,Review Documents,25-01-2018 18:26:56,Freddy,Healthcare,25000
59,Automated Scoreboarding,25-01-2018 18:33:46,SYSTEM,Healthcare,25000
59,Update Backend Systems,25-01-2018 18:38:32,RPA,Healthcare,25000
59,Notification Review Request Completed,25-01-2018 18:52:01,SYSTEM,Healthcare,25000
60,New Client Onboarding Request,26-01-2018 18:00:00,Clive,Finance,12000
60,Review Documents,26-01-2018 18:20:05,Jane,Finance,12000
60,Automated Scoreboarding,26-01-2018 18:27:34,SYSTEM,Finance,12000
60,Update Backend Systems,26-01-2018 18:36:44,RPA,Finance,12000
60,Notification Review Request Completed,26-01-2018 18:53:04,SYSTEM,Finance,12000
61,New Client Onboarding Request,27-01-2018 18:00:00,Seb,Federal,8000
61,Review Documents,27-01-2018 18:17:30,Jane,Federal,8000
61,Automated Scoreboarding,27-01-2018 20:23:27,SYSTEM,Federal,8000
61,Update Backend Systems,27-01-2018 20:29:09,RPA,Federal,8000
61,Notification Review Request Completed,27-01-2018 20:50:52,SYSTEM,Federal,8000
62,New Client Onboarding Request,28-01-2018 18:00:00,Clive,Finance,20000
62,Review Documents,28-01-2018 18:16:05,Freddy,Finance,20000
62,Automated Scoreboarding,28-01-2018 18:40:58,SYSTEM,Finance,20000
62,Update Backend Systems,28-01-2018 18:46:44,RPA,Finance,20000
62,Notification Review Request Completed,28-01-2018 19:04:01,SYSTEM,Finance,20000
63,New Client Onboarding Request,29-01-2018 18:00:00,Seb,Finance,12000
63,Review Documents,29-01-2018 18:20:02,Freddy,Finance,12000
63,Automated Scoreboarding,29-01-2018 18:25:21,SYSTEM,Finance,12000
63,Update Backend Systems,29-01-2018 18:31:38,RPA,Finance,12000
63,Notification Review Request Completed,29-01-2018 18:54:00,SYSTEM,Finance,12000
64,New Client Onboarding Request,30-01-2018 18:00:00,Tom,Healthcare,15000
64,Review Documents,30-01-2018 18:33:53,Jane,Healthcare,15000
64,Automated Scoreboarding,30-01-2018 19:02:06,SYSTEM,Healthcare,15000
64,Update Backend Systems,30-01-2018 19:07:34,RPA,Healthcare,15000
64,Notification Review Request Completed,30-01-2018 19:24:02,SYSTEM,Healthcare,15000
65,New Client Onboarding Request,31-01-2018 18:00:00,Francis,Federal,3000
65,Review Documents,31-01-2018 19:34:17,Freddy,Federal,3000
65,Automated Scoreboarding,31-01-2018 21:42:03,SYSTEM,Federal,3000
65,Update Backend Systems,31-01-2018 21:52:01,RPA,Federal,3000
65,Notification Review Request Completed,31-01-2018 21:56:54,SYSTEM,Federal,3000
66,New Client Onboarding Request,01-02-2018 18:00:00,Francis,Insurance,45000
66,Review Documents,01-02-2018 18:44:36,Jane,Insurance,45000
66,Automated Scoreboarding,01-02-2018 18:47:43,SYSTEM,Insurance,45000
66,Update Backend Systems,01-02-2018 18:52:03,RPA,Insurance,45000
66,Notification Review Request Completed,01-02-2018 19:00:49,SYSTEM,Insurance,45000
67,New Client Onboarding Request,02-02-2018 18:00:00,Nick,Telecom,49000
67,Review Documents,02-02-2018 18:33:16,Jane,Telecom,49000
67,Automated Scoreboarding,02-02-2018 19:43:36,SYSTEM,Telecom,49000
67,Update Backend Systems,02-02-2018 19:48:14,RPA,Telecom,49000
67,Notification Review Request Completed,02-02-2018 20:13:25,SYSTEM,Telecom,49000
68,New Client Onboarding Request,03-02-2018 18:00:00,Francis,Telecom,49000
68,Review Documents,03-02-2018 18:21:26,Jane,Telecom,49000
68,Automated Scoreboarding,03-02-2018 18:31:47,SYSTEM,Telecom,49000
68,Update Backend Systems,03-02-2018 18:36:19,RPA,Telecom,49000
68,Notification Review Request Completed,03-02-2018 18:50:21,SYSTEM,Telecom,49000
69,New Client Onboarding Request,04-02-2018 18:00:00,Nick,Insurance,45000
69,Review Documents,04-02-2018 19:01:54,Jane,Insurance,45000
69,Automated Scoreboarding,04-02-2018 19:04:02,SYSTEM,Insurance,45000
69,Update Backend Systems,04-02-2018 19:11:01,RPA,Insurance,45000
69,Notification Review Request Completed,04-02-2018 19:23:10,SYSTEM,Insurance,45000
70,New Client Onboarding Request,05-02-2018 18:00:00,Seb,Federal,6000
70,Review Documents,05-02-2018 21:29:34,Rod,Federal,6000
70,Automated Scoreboarding,06-02-2018 02:25:56,SYSTEM,Federal,6000
70,Update Backend Systems,06-02-2018 02:30:56,RPA,Federal,6000
70,Notification Review Request Completed,06-02-2018 02:51:02,SYSTEM,Federal,6000
71,New Client Onboarding Request,06-02-2018 18:00:00,Nick,Telecom,49000
71,Review Documents,06-02-2018 18:33:42,Freddy,Telecom,49000
71,Automated Scoreboarding,06-02-2018 18:39:14,SYSTEM,Telecom,49000
71,Update Backend Systems,06-02-2018 18:47:24,RPA,Telecom,49000
71,Notification Review Request Completed,06-02-2018 18:58:51,SYSTEM,Telecom,49000
72,New Client Onboarding Request,07-02-2018 18:00:00,Francis,Telecom,49000
72,Review Documents,07-02-2018 18:04:12,Jane,Telecom,49000
72,Automated Scoreboarding,07-02-2018 18:29:33,SYSTEM,Telecom,49000
72,Update Backend Systems,07-02-2018 18:39:21,RPA,Telecom,49000
72,Notification Review Request Completed,07-02-2018 18:55:46,SYSTEM,Telecom,49000
73,New Client Onboarding Request,08-02-2018 18:00:00,Clive,Healthcare,15000
73,Review Documents,08-02-2018 18:25:10,Freddy,Healthcare,15000
73,Automated Scoreboarding,08-02-2018 19:02:39,SYSTEM,Healthcare,15000
73,Update Backend Systems,08-02-2018 19:07:23,RPA,Healthcare,15000
73,Notification Review Request Completed,08-02-2018 19:24:55,SYSTEM,Healthcare,15000
74,New Client Onboarding Request,09-02-2018 18:00:00,Tom,Finance,20000
74,Review Documents,09-02-2018 18:34:49,Jane,Finance,20000
74,Automated Scoreboarding,09-02-2018 19:06:49,SYSTEM,Finance,20000
74,Update Backend Systems,09-02-2018 19:12:36,RPA,Finance,20000
74,Notification Review Request Completed,09-02-2018 19:24:03,SYSTEM,Finance,20000
